condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
baseline,187,30,141,4.7,3.131,12.82,3.131,,0
baseline,188,30,155,5.1667,2.9952,13.1,2.9952,,0
baseline,189,30,147,4.9,2.4824,12.94,2.4824,,0
baseline,190,30,147,4.9,2.7712,12.94,2.7712,,0
baseline,191,30,135,4.5,2.7512,12.7,2.7512,,0
baseline,192,30,136,4.5333,2.3742,12.72,2.3742,,0
baseline,193,30,148,4.9333,2.8154,12.96,2.8154,,0
baseline,194,30,155,5.1667,2.9605,13.1,2.9605,,0
baseline,195,30,159,5.3,2.996,13.18,2.996,,0
baseline,196,30,153,5.1,2.9285,13.06,2.9285,,0
baseline,197,30,149,4.9667,2.7099,12.98,2.7099,,0
baseline,198,30,142,4.7333,3.2156,12.84,3.2156,,0
baseline,199,30,144,4.8,3.0558,12.88,3.0558,,0
baseline,200,30,157,5.2333,2.8489,13.14,2.8489,,0
