"condition","round_id","num_agents","total_contribution","average_contribution","std_contribution","average_payoff","std_payoff","average_prediction_error","num_predictions"
"baseline","38","30","143","4.7667","2.6997","12.86","2.6997","","0"
"baseline","39","30","170","5.6667","2.8808","13.4","2.8808","","0"
"baseline","40","30","153","5.1","3.0212","13.06","3.0212","","0"
"baseline","41","30","149","4.9667","3.1457","12.98","3.1457","","0"
"baseline","42","30","142","4.7333","2.4766","12.84","2.4766","","0"
"baseline","43","30","144","4.8","3.0445","12.88","3.0445","","0"
"baseline","44","30","148","4.9333","2.9117","12.96","2.9117","","0"
"baseline","45","30","149","4.9667","2.93","12.98","2.93","","0"
"baseline","46","30","147","4.9","3.0212","12.94","3.0212","","0"
"baseline","47","30","149","4.9667","2.9651","12.98","2.9651","","0"
"baseline","48","30","143","4.7667","2.4309","12.86","2.4309","","0"
"baseline","49","30","138","4.6","2.5677","12.76","2.5677","","0"
"baseline","50","30","141","4.7","3.2179","12.82","3.2179","","0"
"baseline","51","30","157","5.2333","3.1588","13.14","3.1588","","0"
"baseline","52","30","157","5.2333","2.7503","13.14","2.7503","","0"
"baseline","53","30","145","4.8333","2.8897","12.9","2.8897","","0"
"baseline","54","30","165","5.5","2.8738","13.3","2.8738","","0"
"baseline","55","30","140","4.6667","3.0096","12.8","3.0096","","0"
"baseline","56","30","143","4.7667","3.0364","12.86","3.0364","","0"
"baseline","57","30","159","5.3","2.8058","13.18","2.8058","","0"
"baseline","58","30","136","4.5333","3.0932","12.72","3.0932","","0"
"baseline","59","30","133","4.4333","3.0703","12.66","3.0703","","0"
"baseline","60","30","146","4.8667","2.8129","12.92","2.8129","","0"
"baseline","61","30","145","4.8333","3.1957","12.9","3.1957","","0"
"baseline","62","30","173","5.7667","3.2237","13.46","3.2237","","0"
"baseline","63","30","167","5.5667","2.885","13.34","2.885","","0"
"baseline","64","30","158","5.2667","2.7784","13.16","2.7784","","0"
"baseline","65","30","152","5.0667","2.5989","13.04","2.5989","","0"
"baseline","66","30","134","4.4667","2.8616","12.68","2.8616","","0"
"baseline","67","30","139","4.6333","2.7852","12.78","2.7852","","0"
"baseline","68","30","146","4.8667","3.0027","12.92","3.0027","","0"
"baseline","69","30","149","4.9667","2.8706","12.98","2.8706","","0"
"baseline","70","30","137","4.5667","2.7628","12.74","2.7628","","0"
"baseline","71","30","133","4.4333","2.885","12.66","2.885","","0"
"baseline","72","30","150","5","2.7916","13.0","2.7916","","0"
"baseline","73","30","160","5.3333","2.6824","13.2","2.6824","","0"
"baseline","74","30","139","4.6333","2.5929","12.78","2.5929","","0"
"baseline","75","30","149","4.9667","2.7478","12.98","2.7478","","0"
"baseline","76","30","153","5.1","2.8929","13.06","2.8929","","0"
"baseline","77","30","159","5.3","2.996","13.18","2.996","","0"
"baseline","78","30","145","4.8333","2.8658","12.9","2.8658","","0"
"baseline","79","30","158","5.2667","2.876","13.16","2.876","","0"
"baseline","80","30","133","4.4333","3.0703","12.66","3.0703","","0"
"baseline","81","30","152","5.0667","2.6384","13.04","2.6384","","0"
"baseline","82","30","142","4.7333","2.864","12.84","2.864","","0"
"baseline","83","30","143","4.7667","2.9558","12.86","2.9558","","0"
"baseline","84","30","139","4.6333","2.6455","12.78","2.6455","","0"
"baseline","85","30","149","4.9667","2.7976","12.98","2.7976","","0"
"baseline","86","30","152","5.0667","3.0278","13.04","3.0278","","0"
"baseline","87","30","144","4.8","3.0671","12.88","3.0671","","0"
"baseline","88","30","147","4.9","2.7836","12.94","2.7836","","0"
"baseline","89","30","157","5.2333","3.1259","13.14","3.1259","","0"
"baseline","90","30","148","4.9333","3.1506","12.96","3.1506","","0"
"baseline","91","30","136","4.5333","2.9912","12.72","2.9912","","0"
"baseline","92","30","156","5.2","2.8089","13.12","2.8089","","0"
"baseline","93","30","163","5.4333","2.8969","13.26","2.8969","","0"
"baseline","94","30","149","4.9667","3.2215","12.98","3.2215","","0"
"baseline","95","30","149","4.9667","2.9418","12.98","2.9418","","0"
"baseline","96","30","144","4.8","2.8333","12.88","2.8333","","0"
"baseline","97","30","148","4.9333","2.947","12.96","2.947","","0"
"baseline","98","30","144","4.8","2.9873","12.88","2.9873","","0"
"baseline","99","30","154","5.1333","3.2242","13.08","3.2242","","0"
"baseline","100","30","152","5.0667","2.8154","13.04","2.8154","","0"
"baseline","101","30","155","5.1667","2.7554","13.1","2.7554","","0"
"baseline","102","30","139","4.6333","2.8099","12.78","2.8099","","0"
"baseline","103","30","138","4.6","3.024","12.76","3.024","","0"
"baseline","104","30","153","5.1","2.9519","13.06","2.9519","","0"
"baseline","105","30","154","5.1333","3.0256","13.08","3.0256","","0"
"baseline","106","30","147","4.9","3.1332","12.94","3.1332","","0"
"baseline","107","30","165","5.5","2.8254","13.3","2.8254","","0"
"baseline","108","30","145","4.8333","3.0971","12.9","3.0971","","0"
"baseline","109","30","158","5.2667","2.6384","13.16","2.6384","","0"
"baseline","110","30","145","4.8333","3.1303","12.9","3.1303","","0"
